stock_code,stock_name,market,report_type,report_year,first_appointment_date,first_change_date,second_change_date,third_change_date,actual_disclosure_date,stat_date
301091,深城交,深市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
600770,综艺股份,沪市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
601339,百隆东方,沪市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
603132,金徽股份,沪市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
603586,金麒麟,沪市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
688581,安杰思,沪市,半年报（中报）,2026,2026-08-07,,,,,2026-08-07
000695,滨海能源,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
000831,中国稀土,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
001203,大中矿业,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
001380,华纬科技,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
001389,广合科技,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
002177,御银股份,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
002200,交投生态,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
002455,百川股份,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
002519,银河电子,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
002550,千红制药,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
002828,贝肯能源,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
300042,朗科科技,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
300146,汤臣倍健,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
300455,航天智装,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
300507,苏奥传感,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
300647,超频三,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
300773,拉卡拉,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
301361,众智科技,深市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
600433,冠豪高新,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
600500,中化国际,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
600641,先导基电,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
600829,人民同泰,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
603508,思维列控,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
603822,ST嘉澳,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
605007,五洲特纸,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
688082,盛美上海,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
688130,晶华微,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
688167,炬光科技,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
688256,寒武纪,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
688345,博力威,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
688549,中巨芯,沪市,半年报（中报）,2026,2026-08-08,,,,,2026-08-08
000909,*ST数源,深市,半年报（中报）,2026,2026-08-10,,,,,2026-08-10
001221,悍高集团,深市,半年报（中报）,2026,2026-08-10,,,,,2026-08-10
002246,北化股份,深市,半年报（中报）,2026,2026-08-10,,,,,2026-08-10
002261,拓维信息,深市,半年报（中报）,2026,2026-08-10,,,,,2026-08-10
300184,力源信息,深市,半年报（中报）,2026,2026-08-10,,,,,2026-08-10
300426,华智数媒,深市,半年报（中报）,2026,2026-08-10,,,,,2026-08-10
603102,百合股份,沪市,半年报（中报）,2026,2026-08-10,,,,,2026-08-10
688689,银河微电,沪市,半年报（中报）,2026,2026-08-10,,,,,2026-08-10
688795,摩尔线程,沪市,半年报（中报）,2026,2026-08-10,,,,,2026-08-10
000408,藏格矿业,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
000680,山推股份,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
000703,恒逸石化,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
000762,西藏矿业,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
001207,联科科技,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
002033,丽江股份,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
002149,西部材料,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
002233,塔牌集团,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
002391,长青股份,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
002587,奥拓电子,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
002633,申科股份,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
002825,纳尔股份,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
002962,五方光电,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
300120,经纬辉开,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
300172,中电环保,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
300272,开能健康,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
300437,清水源,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
300725,药石科技,深市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
600066,宇通客车,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
600203,福日电子,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
600255,鑫科材料,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
600269,赣粤高速,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
600309,万华化学,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
600768,宁波富邦,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
603096,新经典,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
603119,浙江荣泰,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
688035,德邦科技,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
688148,芳源股份,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
688309,恒誉环保,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
688469,芯联集成,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
688600,皖仪科技,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
688612,威迈斯,沪市,半年报（中报）,2026,2026-08-11,,,,,2026-08-11
000422,湖北宜化,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
000895,双汇发展,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
001312,福恩股份,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
002799,环球印务,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
002820,桂发祥,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
002938,鹏鼎控股,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
300107,建新股份,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
300497,富祥股份,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
300550,和仁科技,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
300883,龙利得,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
301052,果麦文化,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
301128,强瑞技术,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
301421,波长光电,深市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
600285,羚锐制药,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
600318,新力金融,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
600371,万向德农,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
600495,晋西车轴,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
600693,东百集团,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
601138,工业富联,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
601886,江河集团,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
603393,新天然气,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
603538,美诺华,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
603701,德宏股份,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
603897,长城科技,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
603995,甬金股份,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
605098,行动教育,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
688252,天德钰,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
688609,九联科技,沪市,半年报（中报）,2026,2026-08-12,,,,,2026-08-12
000404,长虹华意,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
000530,冰山冷热,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
000990,诚志股份,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
002322,理工能科,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
002556,辉隆股份,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
300045,华力创通,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
300047,天源迪科,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
300139,晓程科技,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
300414,中光防雷,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
300818,耐普矿机,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
300999,金龙鱼,深市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
600257,大湖股份,沪市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
600989,宝丰能源,沪市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
603236,移远通信,沪市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
603530,神马电力,沪市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
605339,南侨食品,沪市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
688403,汇成股份,沪市,半年报（中报）,2026,2026-08-13,,,,,2026-08-13
000536,华映科技,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
000599,青岛双星,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
000782,恒申新材,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
000818,航锦科技,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
001311,多利科技,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002342,巨力索具,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002353,杰瑞股份,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002576,通达动力,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002801,微光股份,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002827,高争民爆,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002880,卫光生物,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002920,德赛西威,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002959,小熊电器,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002963,豪尔赛,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
002978,安宁股份,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
003015,日久光电,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
300075,数字政通,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
300140,节能环境,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
300143,盈康生命,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
300541,先进数通,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
300627,华测导航,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
300808,久量股份,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
300814,中富电路,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
300905,宝丽迪,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
301003,江苏博云,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
301158,德石股份,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
301256,华融化学,深市,半年报（中报）,2026,2026-08-14,,,,,2026-08-14
